date,Transactions Count (Total)
2013-01-13,49308
2013-01-14,44403
2013-01-15,44901
2013-01-16,53498
2013-01-17,47989
2013-01-18,49018
2013-01-19,56016
2013-01-20,41241
2013-01-21,40309
2013-01-22,43608
2013-01-23,46552
2013-01-24,46065
2013-01-25,48374
2013-01-26,52210
2013-01-27,55262
2013-01-28,52033
2013-01-29,51545
2013-01-30,41066
2013-01-31,51440
2013-02-01,59235
2013-02-02,54312
2013-02-03,60978
2013-02-04,54841
2013-02-05,53253
2013-02-06,42409
2013-02-07,61083
2013-02-08,60770
2013-02-09,57607
2013-02-10,56282
2013-02-11,57435
2013-02-12,58412
2013-02-13,58919
2013-02-14,50777
2013-02-15,55468
2013-02-16,51244
2013-02-17,49447
2013-02-18,50213
2013-02-19,54360
2013-02-20,59555
2013-02-21,55740
2013-02-22,62001
2013-02-23,57722
2013-02-24,57008
2013-02-25,66940
2013-02-26,63272
2013-02-27,60756
2013-02-28,62853
2013-03-01,64383
2013-03-02,55680
2013-03-03,54298
2013-03-04,63865
2013-03-05,56729
2013-03-06,62605
2013-03-07,66610
2013-03-08,55697
2013-03-09,55377
2013-03-10,73661
2013-03-11,59125
2013-03-12,48349
2013-03-13,56533
2013-03-14,57890
2013-03-15,62604
2013-03-16,34012
2013-03-17,35139
2013-03-18,43295
2013-03-19,45938
2013-03-20,46065
2013-03-21,55346
2013-03-22,60355
2013-03-23,52697
2013-03-24,51146
2013-03-25,48849
2013-03-26,48910
2013-03-27,53076
2013-03-28,60806
2013-03-29,62085
2013-03-30,59023
2013-03-31,43817
2013-04-01,52572
2013-04-02,63094
2013-04-03,63766
2013-04-04,66738
2013-04-05,61215
2013-04-06,51555
2013-04-07,63377
2013-04-08,61525
2013-04-09,66803
2013-04-10,63690
2013-04-11,68247
2013-04-12,58517
2013-04-13,53350
2013-04-14,55318
2013-04-15,54332
2013-04-16,67608
2013-04-17,56535
2013-04-18,46484
2013-04-19,59391
2013-04-20,48148
2013-04-21,44048
2013-04-22,47041
2013-04-23,61500
2013-04-24,64861
2013-04-25,62394
2013-04-26,55093
2013-04-27,44222
2013-04-28,41702
2013-04-29,51602
2013-04-30,47450
2013-05-01,55176
2013-05-02,55295
2013-05-03,51275
2013-05-04,50102
2013-05-05,50167
2013-05-06,53174
2013-05-07,56567
2013-05-08,50274
2013-05-09,66610
2013-05-10,67709
2013-05-11,73220
2013-05-12,65260
2013-05-13,60824
2013-05-14,66316
2013-05-15,64030
2013-05-16,61010
2013-05-17,58570
2013-05-18,52066
2013-05-19,47664
2013-05-20,48692
2013-05-21,53791
2013-05-22,51834
2013-05-23,59615
2013-05-24,55232
2013-05-25,51115
2013-05-26,40559
2013-05-27,52582
2013-05-28,56912
2013-05-29,54892
2013-05-30,57247
2013-05-31,54171
2013-06-01,54098
2013-06-02,49748
2013-06-03,55661
2013-06-04,57409
2013-06-05,56376
2013-06-06,54457
2013-06-07,52027
2013-06-08,48037
2013-06-09,44312
2013-06-10,44826
2013-06-11,49483
2013-06-12,45704
2013-06-13,43007
2013-06-14,49992
2013-06-15,35653
2013-06-16,42781
2013-06-17,45798
2013-06-18,45877
2013-06-19,46895
2013-06-20,52361
2013-06-21,46859
2013-06-22,44418
2013-06-23,38342
2013-06-24,44095
2013-06-25,44472
2013-06-26,45453
2013-06-27,45961
2013-06-28,49383
2013-06-29,36376
2013-06-30,30800
2013-07-01,38971
2013-07-02,39497
2013-07-03,35347
2013-07-04,35127
2013-07-05,36851
2013-07-06,33185
2013-07-07,30170
2013-07-08,39437
2013-07-09,40647
2013-07-10,39043
2013-07-11,43260
2013-07-12,48106
2013-07-13,37813
2013-07-14,34761
2013-07-15,36590
2013-07-16,39228
2013-07-17,40459
2013-07-18,41009
2013-07-19,36588
2013-07-20,33516
2013-07-21,35257
2013-07-22,39814
2013-07-23,38291
2013-07-24,42202
2013-07-25,42384
2013-07-26,37209
2013-07-27,36711
2013-07-28,37134
2013-07-29,41634
2013-07-30,41936
2013-07-31,49334
2013-08-01,50727
2013-08-02,51489
2013-08-03,45576
2013-08-04,42767
2013-08-05,50812
2013-08-06,54179
2013-08-07,57420
2013-08-08,57817
2013-08-09,49463
2013-08-10,51485
2013-08-11,38206
2013-08-12,50012
2013-08-13,52897
2013-08-14,51492
2013-08-15,57959
2013-08-16,70951
2013-08-17,56356
2013-08-18,56203
2013-08-19,71137
2013-08-20,63038
2013-08-21,60335
2013-08-22,66596
2013-08-23,54999
2013-08-24,51634
2013-08-25,44296
2013-08-26,55927
2013-08-27,62018
2013-08-28,64569
2013-08-29,58803
2013-08-30,62398
2013-08-31,47282
2013-09-01,46377
2013-09-02,51051
2013-09-03,51969
2013-09-04,52816
2013-09-05,60551
2013-09-06,60665
2013-09-07,51822
2013-09-08,46295
2013-09-09,57473
2013-09-10,53092
2013-09-11,49010
2013-09-12,52087
2013-09-13,44630
2013-09-14,43342
2013-09-15,53491
2013-09-16,51731
2013-09-17,67752
2013-09-18,60386
2013-09-19,59625
2013-09-20,58794
2013-09-21,52309
2013-09-22,50700
2013-09-23,65118
2013-09-24,62380
2013-09-25,54342
2013-09-26,57383
2013-09-27,46742
2013-09-28,42403
2013-09-29,41011
2013-09-30,46993
2013-10-01,56984
2013-10-02,61773
2013-10-03,59352
2013-10-04,51760
2013-10-05,45260
2013-10-06,42672
2013-10-07,44391
2013-10-08,44970
2013-10-09,50494
2013-10-10,56661
2013-10-11,51737
2013-10-12,49260
2013-10-13,51083
2013-10-14,57202
2013-10-15,55566
2013-10-16,50616
2013-10-17,46703
2013-10-18,59469
2013-10-19,55088
2013-10-20,49219
2013-10-21,60240
2013-10-22,64803
2013-10-23,55093
2013-10-24,63419
2013-10-25,57236
2013-10-26,47565
2013-10-27,43512
2013-10-28,50929
2013-10-29,49770
2013-10-30,48251
2013-10-31,57970
2013-11-01,45163
2013-11-02,38979
2013-11-03,35755
2013-11-04,45328
2013-11-05,51423
2013-11-06,54845
2013-11-07,60391
2013-11-08,59089
2013-11-09,55056
2013-11-10,57367
2013-11-11,57218
2013-11-12,58106
2013-11-13,64702
2013-11-14,69230
2013-11-15,60748
2013-11-16,46981
2013-11-17,51137
2013-11-18,78876
2013-11-19,92746
2013-11-20,77394
2013-11-21,71672
2013-11-22,76775
2013-11-23,72375
2013-11-24,60693
2013-11-25,71620
2013-11-26,83224
2013-11-27,95358
2013-11-28,98740
2013-11-29,89911
2013-11-30,75014
2013-12-01,71947
2013-12-02,75411
2013-12-03,77467
2013-12-04,79453
2013-12-05,83113
2013-12-06,71891
2013-12-07,67517
2013-12-08,47282
2013-12-09,63449
2013-12-10,67431
2013-12-11,67140
2013-12-12,58056
2013-12-13,59941
2013-12-14,53859
2013-12-15,52131
2013-12-16,69181
2013-12-17,67537
2013-12-18,81311
2013-12-19,70052
2013-12-20,64905
2013-12-21,55922
2013-12-22,52728
2013-12-23,54096
2013-12-24,55696
2013-12-25,55266
2013-12-26,51096
2013-12-27,52490
2013-12-28,47859
2013-12-29,51157
2013-12-30,55440
2013-12-31,48663
2014-01-01,42865
2014-01-02,54636
2014-01-03,60819
2014-01-04,51911
2014-01-05,58469
2014-01-06,67172
2014-01-07,62734
2014-01-08,61246
2014-01-09,58824
2014-01-10,53979
2014-01-11,55646
2014-01-12,50330
2014-01-13,53292
2014-01-14,57216
2014-01-15,61428
2014-01-16,56518
2014-01-17,58874
2014-01-18,51399
2014-01-19,47836
2014-01-20,62808
2014-01-21,72411
2014-01-22,65643
2014-01-23,63399
2014-01-24,65411
2014-01-25,53699
2014-01-26,53430
2014-01-27,64200
2014-01-28,65608
2014-01-29,59530
2014-01-30,60623
2014-01-31,60085
2014-02-01,54649
2014-02-02,52297
2014-02-03,57419
2014-02-04,69627
2014-02-05,67361
2014-02-06,69978
2014-02-07,70359
2014-02-08,64827
2014-02-09,56441
2014-02-10,66694
2014-02-11,67065
2014-02-12,61948
2014-02-13,67161
2014-02-14,74698
2014-02-15,61709
2014-02-16,57336
2014-02-17,60698
2014-02-18,65245
2014-02-19,69942
2014-02-20,70967
2014-02-21,69238
2014-02-22,58493
2014-02-23,59906
2014-02-24,73605
2014-02-25,79921
2014-02-26,72992
2014-02-27,70671
2014-02-28,70109
2014-03-01,63258
2014-03-02,56495
2014-03-03,81116
2014-03-04,84451
2014-03-05,72236
2014-03-06,70354
2014-03-07,72179
2014-03-08,64422
2014-03-09,61982
2014-03-10,70735
2014-03-11,76036
2014-03-12,76157
2014-03-13,72643
2014-03-14,70482
2014-03-15,60143
2014-03-16,59161
2014-03-17,66235
2014-03-18,53996
2014-03-19,73644
2014-03-20,70825
2014-03-21,72905
2014-03-22,66503
2014-03-23,57597
2014-03-24,70795
2014-03-25,71726
2014-03-26,68156
2014-03-27,71546
2014-03-28,66905
2014-03-29,53095
2014-03-30,56713
2014-03-31,64862
2014-04-01,63965
2014-04-02,66716
2014-04-03,66820
2014-04-04,65497
2014-04-05,55624
2014-04-06,49859
2014-04-07,65659
2014-04-08,67707
2014-04-09,64992
2014-04-10,67872
2014-04-11,65563
2014-04-12,47579
2014-04-13,50981
2014-04-14,70026
2014-04-15,72627
2014-04-16,68435
2014-04-17,65021
2014-04-18,56836
2014-04-19,53356
2014-04-20,48865
2014-04-21,57939
2014-04-22,77888
2014-04-23,73789
2014-04-24,72543
2014-04-25,72468
2014-04-26,52012
2014-04-27,52452
2014-04-28,64394
2014-04-29,64886
2014-04-30,63501
2014-05-01,59482
2014-05-02,59820
2014-05-03,54015
2014-05-04,51618
2014-05-05,67638
2014-05-06,77034
2014-05-07,69666
2014-05-08,68770
2014-05-09,66123
2014-05-10,56237
2014-05-11,52438
2014-05-12,74254
2014-05-13,69195
2014-05-14,69658
2014-05-15,74722
2014-05-16,65252
2014-05-17,53338
2014-05-18,49740
2014-05-19,63926
2014-05-20,71343
2014-05-21,68730
2014-05-22,73171
2014-05-23,72645
2014-05-24,52718
2014-05-25,57405
2014-05-26,66849
2014-05-27,68388
2014-05-28,72169
2014-05-29,65221
2014-05-30,64960
2014-05-31,52025
2014-06-01,55047
2014-06-02,64241
2014-06-03,69517
2014-06-04,64873
2014-06-05,66793
2014-06-06,62203
2014-06-07,51055
2014-06-08,48172
2014-06-09,59719
2014-06-10,63149
2014-06-11,62681
2014-06-12,64572
2014-06-13,64576
2014-06-14,53418
2014-06-15,53726
2014-06-16,68074
2014-06-17,69893
2014-06-18,63730
2014-06-19,62287
2014-06-20,57195
2014-06-21,50987
2014-06-22,49924
2014-06-23,60040
2014-06-24,64695
2014-06-25,64210
2014-06-26,61261
2014-06-27,62769
2014-06-28,54210
2014-06-29,48937
2014-06-30,70099
2014-07-01,69310
2014-07-02,66591
2014-07-03,62710
2014-07-04,59328
2014-07-05,49802
2014-07-06,51997
2014-07-07,64536
2014-07-08,69967
2014-07-09,68352
2014-07-10,64456
2014-07-11,58921
2014-07-12,53297
2014-07-13,52257
2014-07-14,62626
2014-07-15,72157
2014-07-16,65427
2014-07-17,66061
2014-07-18,63890
2014-07-19,59376
2014-07-20,51846
2014-07-21,64035
2014-07-22,66716
2014-07-23,66737
2014-07-24,66133
2014-07-25,61335
2014-07-26,56199
2014-07-27,51838
2014-07-28,64594
2014-07-29,61458
2014-07-30,65981
2014-07-31,69607
2014-08-01,67758
2014-08-02,54826
2014-08-03,53467
2014-08-04,67719
2014-08-05,72688
2014-08-06,80238
2014-08-07,69753
2014-08-08,68139
2014-08-09,60417
2014-08-10,57736
2014-08-11,75393
2014-08-12,76808
2014-08-13,75593
2014-08-14,78902
2014-08-15,73028
2014-08-16,67816
2014-08-17,60053
2014-08-18,72560
2014-08-19,74554
2014-08-20,73673
2014-08-21,72999
2014-08-22,66841
2014-08-23,57431
2014-08-24,56549
2014-08-25,69757
2014-08-26,72487
2014-08-27,74412
2014-08-28,68455
2014-08-29,68444
2014-08-30,61032
2014-08-31,57567
2014-09-01,70247
2014-09-02,71762
2014-09-03,71699
2014-09-04,70652
2014-09-05,67893
2014-09-06,63190
2014-09-07,60197
2014-09-08,75622
2014-09-09,81666
2014-09-10,72401
2014-09-11,65856
2014-09-12,68230
2014-09-13,61065
2014-09-14,67497
2014-09-15,78508
2014-09-16,87063
2014-09-17,80119
2014-09-18,77185
2014-09-19,69266
2014-09-20,63306
2014-09-21,59636
2014-09-22,73121
2014-09-23,77133
2014-09-24,74818
2014-09-25,78351
2014-09-26,72421
2014-09-27,63004
2014-09-28,62310
2014-09-29,77787
2014-09-30,77853
2014-10-01,78624
2014-10-02,71948
2014-10-03,74948
2014-10-04,66478
2014-10-05,67161
2014-10-06,77888
2014-10-07,78935
2014-10-08,78674
2014-10-09,82641
2014-10-10,80903
2014-10-11,64876
2014-10-12,63361
2014-10-13,77787
2014-10-14,81232
2014-10-15,76106
2014-10-16,75589
2014-10-17,70697
2014-10-18,66313
2014-10-19,63122
2014-10-20,82563
2014-10-21,81498
2014-10-22,79828
2014-10-23,80487
2014-10-24,77747
2014-10-25,72360
2014-10-26,70637
2014-10-27,83818
2014-10-28,87842
2014-10-29,93512
2014-10-30,92452
2014-10-31,85515
2014-11-01,69432
2014-11-02,77015
2014-11-03,90182
2014-11-04,87455
2014-11-05,89322
2014-11-06,94142
2014-11-07,83807
2014-11-08,72564
2014-11-09,72062
2014-11-10,88847
2014-11-11,85489
2014-11-12,95432
2014-11-13,92813
2014-11-14,86153
2014-11-15,73102
2014-11-16,75859
2014-11-17,88210
2014-11-18,87370
2014-11-19,85130
2014-11-20,89250
2014-11-21,82052
2014-11-22,74571
2014-11-23,77141
2014-11-24,85660
2014-11-25,86002
2014-11-26,84974
2014-11-27,84541
2014-11-28,85764
2014-11-29,78941
2014-11-30,84853
2014-12-01,97493
2014-12-02,99269
2014-12-03,99232
2014-12-04,98202
2014-12-05,90744
2014-12-06,81093
2014-12-07,74666
2014-12-08,90583
2014-12-09,90078
2014-12-10,88655
2014-12-11,83857
2014-12-12,81156
2014-12-13,76061
2014-12-14,79562
2014-12-15,94318
2014-12-16,100921
2014-12-17,98316
2014-12-18,95078
2014-12-19,95268
2014-12-20,86767
2014-12-21,78831
2014-12-22,96347
2014-12-23,99319
2014-12-24,82194
2014-12-25,67760
2014-12-26,76046
2014-12-27,76662
2014-12-28,75546
2014-12-29,83283
2014-12-30,84894
2014-12-31,77259
2015-01-01,59179
2015-01-02,79122
2015-01-03,82065
2015-01-04,85522
2015-01-05,95429
2015-01-06,87663
2015-01-07,89776
2015-01-08,106985
2015-01-09,102135
2015-01-10,104727
2015-01-11,90475
2015-01-12,98827
2015-01-13,102182
2015-01-14,104620
2015-01-15,120239
2015-01-16,104560
2015-01-17,90361
2015-01-18,83033
2015-01-19,98341
2015-01-20,98807
2015-01-21,96810
2015-01-22,93563
2015-01-23,91887
2015-01-24,83431
2015-01-25,86433
2015-01-26,108054
2015-01-27,99244
2015-01-28,85068
2015-01-29,90715
2015-01-30,81061
2015-01-31,86146
2015-02-01,78839
2015-02-02,85828
2015-02-03,91666
2015-02-04,90655
2015-02-05,86408
2015-02-06,85528
2015-02-07,85540
2015-02-08,82547
2015-02-09,104597
2015-02-10,102831
2015-02-11,96890
2015-02-12,87308
2015-02-13,113514
2015-02-14,98613
2015-02-15,85127
2015-02-16,104475
2015-02-17,102839
2015-02-18,105552
2015-02-19,94386
2015-02-20,98556
2015-02-21,87685
2015-02-22,84791
2015-02-23,101373
2015-02-24,104996
2015-02-25,105235
2015-02-26,100667
2015-02-27,101322
2015-02-28,89490
2015-03-01,88588
2015-03-02,104779
2015-03-03,110823
2015-03-04,98389
2015-03-05,100983
2015-03-06,93721
2015-03-07,91365
2015-03-08,87371
2015-03-09,105392
2015-03-10,105389
2015-03-11,100611
2015-03-12,96964
2015-03-13,95890
2015-03-14,89380
2015-03-15,84791
2015-03-16,105079
2015-03-17,99433
2015-03-18,99454
2015-03-19,106160
2015-03-20,103396
2015-03-21,92685
2015-03-22,90444
2015-03-23,105874
2015-03-24,92754
2015-03-25,96976
2015-03-26,101033
2015-03-27,99320
2015-03-28,87226
2015-03-29,90363
2015-03-30,106213
2015-03-31,114961
2015-04-01,119211
2015-04-02,111904
2015-04-03,104400
2015-04-04,89498
2015-04-05,94875
2015-04-06,107323
2015-04-07,108562
2015-04-08,110626
2015-04-09,116487
2015-04-10,112674
2015-04-11,99289
2015-04-12,86871
2015-04-13,115251
2015-04-14,110001
2015-04-15,107484
2015-04-16,98908
2015-04-17,102629
2015-04-18,97563
2015-04-19,90989
2015-04-20,116592
2015-04-21,112349
2015-04-22,111726
2015-04-23,109708
2015-04-24,108652
2015-04-25,98302
2015-04-26,92855
2015-04-27,113638
2015-04-28,113040
2015-04-29,117133
2015-04-30,112824
2015-05-01,99412
2015-05-02,94955
2015-05-03,84461
2015-05-04,103872
2015-05-05,115194
2015-05-06,111572
2015-05-07,110984
2015-05-08,108995
2015-05-09,94587
2015-05-10,89280
2015-05-11,111216
2015-05-12,109951
2015-05-13,108696
2015-05-14,101430
2015-05-15,105013
2015-05-16,90554
2015-05-17,86991
2015-05-18,98434
2015-05-19,107216
2015-05-20,106743
2015-05-21,98147
2015-05-22,102632
2015-05-23,86167
2015-05-24,93898
2015-05-25,105945
2015-05-26,108240
2015-05-27,107951
2015-05-28,110848
2015-05-29,123898
2015-05-30,127665
2015-05-31,98636
2015-06-01,128564
2015-06-02,128057
2015-06-03,127458
2015-06-04,118205
2015-06-05,110063
2015-06-06,92518
2015-06-07,83478
2015-06-08,108016
2015-06-09,121487
2015-06-10,131110
2015-06-11,120489
2015-06-12,126803
2015-06-13,105684
2015-06-14,102888
2015-06-15,129245
2015-06-16,121423
2015-06-17,132964
2015-06-18,124773
2015-06-19,125075
2015-06-20,101878
2015-06-21,96530
2015-06-22,119192
2015-06-23,125420
2015-06-24,112937
2015-06-25,111316
2015-06-26,116278
2015-06-27,105875
2015-06-28,99004
2015-06-29,124040
2015-06-30,155724
2015-07-01,143977
2015-07-02,141999
2015-07-03,129558
2015-07-04,104430
2015-07-05,114942
2015-07-06,173889
2015-07-07,190613
2015-07-08,201586
2015-07-09,191030
2015-07-10,192866
2015-07-11,186052
2015-07-12,208550
2015-07-13,159547
2015-07-14,122474
2015-07-15,115417
2015-07-16,114253
2015-07-17,116759
2015-07-18,130546
2015-07-19,120735
2015-07-20,125102
2015-07-21,133658
2015-07-22,131105
2015-07-23,109480
2015-07-24,109749
2015-07-25,100390
2015-07-26,92632
2015-07-27,115077
2015-07-28,118214
2015-07-29,143048
2015-07-30,123443
2015-07-31,144173
2015-08-01,121322
2015-08-02,103449
2015-08-03,119687
2015-08-04,132411
2015-08-05,133625
2015-08-06,134695
2015-08-07,111208
2015-08-08,101351
2015-08-09,90392
2015-08-10,116674
2015-08-11,114579
2015-08-12,117772
2015-08-13,117360
2015-08-14,111113
2015-08-15,94807
2015-08-16,89360
2015-08-17,114902
2015-08-18,119657
2015-08-19,119995
2015-08-20,118080
2015-08-21,113627
2015-08-22,105507
2015-08-23,94395
2015-08-24,125213
2015-08-25,121838
2015-08-26,122691
2015-08-27,119942
2015-08-28,120230
2015-08-29,107329
2015-08-30,98189
2015-08-31,127103
2015-09-01,130256
2015-09-02,149906
2015-09-03,128536
2015-09-04,103817
2015-09-05,124071
2015-09-06,106149
2015-09-07,125315
2015-09-08,125243
2015-09-09,126308
2015-09-10,124780
2015-09-11,179844
2015-09-12,137605
2015-09-13,145897
2015-09-14,166563
2015-09-15,162839
2015-09-16,167127
2015-09-17,259135
2015-09-18,161357
2015-09-19,114726
2015-09-20,109030
2015-09-21,131547
2015-09-22,136627
2015-09-23,131242
2015-09-24,125227
2015-09-25,128002
2015-09-26,115475
2015-09-27,108600
2015-09-28,138427
2015-09-29,140490
2015-09-30,139700
2015-10-01,134178
2015-10-02,139608
2015-10-03,119422
2015-10-04,103378
2015-10-05,125395
2015-10-06,144368
2015-10-07,134798
2015-10-08,140208
2015-10-09,114518
2015-10-10,126845
2015-10-11,104404
2015-10-12,134268
2015-10-13,134741
2015-10-14,141833
2015-10-15,153329
2015-10-16,143142
2015-10-17,135775
2015-10-18,119561
2015-10-19,143804
2015-10-20,146221
2015-10-21,150055
2015-10-22,147254
2015-10-23,143319
2015-10-24,139983
2015-10-25,131333
2015-10-26,116236
2015-10-27,153593
2015-10-28,160036
2015-10-29,160911
2015-10-30,166524
2015-10-31,155253
2015-11-01,152335
2015-11-02,171955
2015-11-03,186207
2015-11-04,204043
2015-11-05,182663
2015-11-06,166748
2015-11-07,151345
2015-11-08,132411
2015-11-09,159687
2015-11-10,161816
2015-11-11,158761
2015-11-12,157686
2015-11-13,154667
2015-11-14,150332
2015-11-15,143209
2015-11-16,158143
2015-11-17,156539
2015-11-18,165116
2015-11-19,154347
2015-11-20,155607
2015-11-21,150861
2015-11-22,129487
2015-11-23,145109
2015-11-24,152168
2015-11-25,151713
2015-11-26,164495
2015-11-27,160102
2015-11-28,165522
2015-11-29,129701
2015-11-30,182486
2015-12-01,177945
2015-12-02,183362
2015-12-03,164632
2015-12-04,173433
2015-12-05,186019
2015-12-06,179553
2015-12-07,192683
2015-12-08,195046
2015-12-09,220155
2015-12-10,211820
2015-12-11,210099
2015-12-12,203979
2015-12-13,189772
2015-12-14,231282
2015-12-15,223815
2015-12-16,220257
2015-12-17,216142
2015-12-18,213678
2015-12-19,213719
2015-12-20,193682
2015-12-21,229295
2015-12-22,222567
2015-12-23,220918
2015-12-24,210090
2015-12-25,180221
2015-12-26,179192
2015-12-27,160066
2015-12-28,172978
2015-12-29,184459
2015-12-30,176282
2015-12-31,155220
2016-01-01,123957
2016-01-02,148893
2016-01-03,142463
2016-01-04,181173
2016-01-05,182214
2016-01-06,171949
2016-01-07,190087
2016-01-08,181234
2016-01-09,179817
2016-01-10,161142
2016-01-11,191026
2016-01-12,194704
2016-01-13,187983
2016-01-14,183049
2016-01-15,183520
2016-01-16,191158
2016-01-17,203977
2016-01-18,213732
2016-01-19,186725
2016-01-20,208919
2016-01-21,222606
2016-01-22,213507
2016-01-23,190221
2016-01-24,201254
2016-01-25,221988
2016-01-26,230363
2016-01-27,229522
2016-01-28,224879
2016-01-29,224225
2016-01-30,194607
2016-01-31,175864
2016-02-01,222237
2016-02-02,241542
2016-02-03,191045
2016-02-04,200493
2016-02-05,225300
2016-02-06,223956
2016-02-07,212014
2016-02-08,224607
2016-02-09,231064
2016-02-10,235363
2016-02-11,220742
2016-02-12,202356
2016-02-13,184519
2016-02-14,185922
2016-02-15,220197
2016-02-16,215802
2016-02-17,227080
2016-02-18,212810
2016-02-19,217291
2016-02-20,215578
2016-02-21,206489
2016-02-22,237569
2016-02-23,244612
2016-02-24,224809
2016-02-25,216135
2016-02-26,203495
2016-02-27,182030
2016-02-28,233302
2016-02-29,265187
2016-03-01,276953
2016-03-02,270049
2016-03-03,221517
2016-03-04,207330
2016-03-05,234842
2016-03-06,161591
2016-03-07,183122
2016-03-08,200144
2016-03-09,190220
2016-03-10,188571
2016-03-11,189656
2016-03-12,167869
2016-03-13,149670
2016-03-14,191189
2016-03-15,202265
2016-03-16,211840
2016-03-17,208178
2016-03-18,205886
2016-03-19,177342
2016-03-20,177997
2016-03-21,198867
2016-03-22,205060
2016-03-23,186659
2016-03-24,189947
2016-03-25,172163
2016-03-26,158896
2016-03-27,160125
2016-03-28,195910
2016-03-29,197252
2016-03-30,200881
2016-03-31,206352
2016-04-01,211769
2016-04-02,183364
2016-04-03,178287
2016-04-04,208763
2016-04-05,216021
2016-04-06,219133
2016-04-07,218324
2016-04-08,214047
2016-04-09,196279
2016-04-10,186781
2016-04-11,229887
2016-04-12,240058
2016-04-13,223342
2016-04-14,227764
2016-04-15,212039
2016-04-16,181866
2016-04-17,192270
2016-04-18,220261
2016-04-19,226361
2016-04-20,216615
2016-04-21,212644
2016-04-22,210833
2016-04-23,185072
2016-04-24,183023
2016-04-25,217437
2016-04-26,250593
2016-04-27,239306
2016-04-28,247822
2016-04-29,261726
2016-04-30,215566
2016-05-01,191275
2016-05-02,223628
2016-05-03,235458
2016-05-04,233524
2016-05-05,229418
2016-05-06,233070
2016-05-07,201912
2016-05-08,188857
2016-05-09,226278
2016-05-10,245563
2016-05-11,234279
2016-05-12,228270
2016-05-13,231994
2016-05-14,211136
2016-05-15,200032
2016-05-16,239668
2016-05-17,238485
2016-05-18,234930
2016-05-19,219025
2016-05-20,209247
2016-05-21,191320
2016-05-22,184164
2016-05-23,222574
2016-05-24,246370
2016-05-25,247703
2016-05-26,219956
2016-05-27,215157
2016-05-28,192921
2016-05-29,178595
2016-05-30,211224
2016-05-31,215122
2016-06-01,234241
2016-06-02,230961
2016-06-03,234527
2016-06-04,196546
2016-06-05,189632
2016-06-06,221001
2016-06-07,230876
2016-06-08,229789
2016-06-09,236188
2016-06-10,228223
2016-06-11,213003
2016-06-12,210565
2016-06-13,251193
2016-06-14,246697
2016-06-15,259050
2016-06-16,267721
2016-06-17,253603
2016-06-18,235159
2016-06-19,218121
2016-06-20,249170
2016-06-21,248015
2016-06-22,235512
2016-06-23,241160
2016-06-24,237496
2016-06-25,206757
2016-06-26,181202
2016-06-27,216882
2016-06-28,212459
2016-06-29,223966
2016-06-30,231810
2016-07-01,205646
2016-07-02,198726
2016-07-03,176973
2016-07-04,213749
2016-07-05,214814
2016-07-06,214551
2016-07-07,215411
2016-07-08,210556
2016-07-09,185256
2016-07-10,162452
2016-07-11,217946
2016-07-12,218891
2016-07-13,216374
2016-07-14,217554
2016-07-15,215946
2016-07-16,182035
2016-07-17,170864
2016-07-18,222687
2016-07-19,222018
2016-07-20,227279
2016-07-21,217473
2016-07-22,221275
2016-07-23,195665
2016-07-24,183766
2016-07-25,239584
2016-07-26,237544
2016-07-27,235475
2016-07-28,234727
2016-07-29,231267
2016-07-30,199365
2016-07-31,192100
2016-08-01,224896
2016-08-02,250944
2016-08-03,241616
2016-08-04,231682
2016-08-05,228075
2016-08-06,195503
2016-08-07,192266
2016-08-08,235147
2016-08-09,231276
2016-08-10,244589
2016-08-11,254365
2016-08-12,232824
2016-08-13,214406
2016-08-14,200011
2016-08-15,202750
2016-08-16,254296
2016-08-17,237880
2016-08-18,239387
2016-08-19,245941
2016-08-20,208069
2016-08-21,184741
2016-08-22,228215
2016-08-23,238874
2016-08-24,234978
2016-08-25,233879
2016-08-26,226635
2016-08-27,190954
2016-08-28,174337
2016-08-29,225133
2016-08-30,251838
2016-08-31,225226
2016-09-01,237326
2016-09-02,225703
2016-09-03,182078
2016-09-04,183065
2016-09-05,227543
2016-09-06,231982
2016-09-07,250657
2016-09-08,226862
2016-09-09,220392
2016-09-10,193165
2016-09-11,180227
2016-09-12,208486
2016-09-13,239721
2016-09-14,231644
2016-09-15,233334
2016-09-16,210989
2016-09-17,215366
2016-09-18,191458
2016-09-19,223407
2016-09-20,244164
2016-09-21,239050
2016-09-22,231086
2016-09-23,223051
2016-09-24,208484
2016-09-25,195457
2016-09-26,230616
2016-09-27,240168
2016-09-28,234847
2016-09-29,242587
2016-09-30,250801
2016-10-01,213773
2016-10-02,192542
2016-10-03,258654
2016-10-04,264504
2016-10-05,266644
2016-10-06,274325
2016-10-07,266181
2016-10-08,250503
2016-10-09,210388
2016-10-10,222872
2016-10-11,263426
2016-10-12,233296
2016-10-13,229575
2016-10-14,239588
2016-10-15,210306
2016-10-16,197746
2016-10-17,237107
2016-10-18,251366
2016-10-19,198958
2016-10-20,270246
2016-10-21,265191
2016-10-22,216559
2016-10-23,191434
2016-10-24,226837
2016-10-25,236891
2016-10-26,223178
2016-10-27,326226
2016-10-28,250724
2016-10-29,229540
2016-10-30,207814
2016-10-31,241631
2016-11-01,246506
2016-11-02,268285
2016-11-03,271843
2016-11-04,247927
2016-11-05,238068
2016-11-06,225633
2016-11-07,274135
2016-11-08,295891
2016-11-09,269948
2016-11-10,271206
